"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,,,";"buzzardLabel";10;"";;;
2;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
3;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
4;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
5;"C1";"ELECTROLITIC_CAP_4mm";1;"10uF_10V";;;
6;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
7;"K1";"HEADER_FEMALE_4X2";1;"HEADER_FEMALE_4X2";;;
8;"REF**";"Logo-Front-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
9;"Ref**";"Version1.0.0.";1;"Val**";;;
10;"K2";"HEADER_MALE_11X1";1;"HEADER_MALE_11X1";;;
11;"K3";"HEADER_MALE_1X1";1;"HEADER_MALE_1X1";;;
